sample_id,platform,timestamp,text,source_type,human_label,url,report_channel,reviewer_note,demo_cluster_seed
demo_0001,image_ocr,2025-01-15,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,platform_export,benign,,aduankonten,demo_anonymized_synthetic_public_signal,seed_03
demo_0002,short_video,2025-04-26,"slot sedang ramai, pola malam ini dibagikan di @alpha_review01, pembayaran QRIS-ALPHA-01",manual_report,promotional,,none,demo_anonymized_synthetic_public_signal,seed_01
demo_0003,image_ocr,2025-03-06,komentar berulang menyebut alpha01[.]invalid dengan ajakan daftar vip,public_post,promotional,,aduankonten,demo_anonymized_synthetic_public_signal,seed_01
demo_0004,public_report,2026-01-13,diskusi sekolah tentang cara menjaga ruang digital produktif,public_post,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_07
demo_0005,forum,2025-07-03,"scatter sedang ramai, pola malam ini dibagikan di @orion_review15, pembayaran QRIS-ORION-15",public_post,promotional,,platform_report,demo_anonymized_synthetic_public_signal,seed_15
demo_0006,image_ocr,2025-03-19,akun baru diarahkan ke elang05[.]invalid lalu chat @elang_review05 untuk wd harian,ocr_snapshot,promotional,,platform_report,demo_anonymized_synthetic_public_signal,seed_05
demo_0007,comment,2025-08-24,"ocr tangkapan layar memuat rtp tinggi, deposit kecil, dan kontak 08xx-xxx-1001 mirror fajar06[.]invalid admin @fajar_review06",ocr_snapshot,promotional,,none,demo_anonymized_synthetic_public_signal,seed_01
demo_0008,short_video,2025-09-30,"ocr tangkapan layar memuat maxwin, saldo ewallet, dan kontak 08xx-xxx-1006",platform_export,promotional,,cekrekening,demo_anonymized_synthetic_public_signal,seed_06
demo_0009,forum,2025-06-11,akun baru diarahkan ke alpha01[.]invalid lalu chat @alpha_review01 untuk bonus member baru mirror cendana03[.]invalid admin @cendana_review03,platform_export,promotional,,aduankonten,demo_anonymized_synthetic_public_signal,seed_01
demo_0010,image_ocr,2025-04-10,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal,ocr_snapshot,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_01
demo_0011,forum,2025-12-15,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @tanjung_review19 kanal tanjung19[.]invalid,public_post,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_19
demo_0012,short_video,2025-05-21,"info maxwin qris cepat via admin @elang_review05, cek domain elang05[.]invalid mirror fajar06[.]invalid admin @fajar_review06",ocr_snapshot,promotional,,none,demo_anonymized_synthetic_public_signal,seed_05
demo_0013,forum,2025-08-09,artikel edukasi dampak sosial ekonomi judi online bagi remaja,platform_export,benign,,none,demo_anonymized_synthetic_public_signal,seed_06
demo_0014,public_report,2025-07-31,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,public_post,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_20
demo_0015,comment,2026-03-24,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak @alpha_review01,ocr_snapshot,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_01
demo_0016,short_video,2025-10-19,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,public_post,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_17
demo_0017,comment,2025-06-04,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,platform_export,benign,,aduankonten,demo_anonymized_synthetic_public_signal,seed_12
demo_0018,short_video,2026-03-21,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,platform_export,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_11
demo_0019,bio_text,2025-10-22,diskusi sekolah tentang cara menjaga ruang digital produktif,public_post,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_02
demo_0020,public_report,2025-04-20,"ocr tangkapan layar memuat parlay, deposit kecil, dan kontak 08xx-xxx-1007 mirror lintas12[.]invalid admin @lintas_review12",public_post,promotional,,cekrekening,demo_anonymized_synthetic_public_signal,seed_07
demo_0021,public_report,2025-05-01,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual kontak @jayakarta_review10",platform_export,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_10
demo_0022,bio_text,2025-06-01,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual",public_post,suspicious,,aduankonten,demo_anonymized_synthetic_public_signal,seed_03
